欄位名稱(中),原始欄位名稱,資料表名稱,資料層級,欄位名稱(英),中文值標籤,序號,型態,簡易說明,資料變動說明,本單位新增,資料涵蓋學年度
,學年度,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所代碼,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所名稱,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數小計,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數男,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數女,學1-1.正式學籍在學學生人數-以「系(所)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數小計,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,7,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數男,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,8,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,在學學生數女,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,2,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,5,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所代碼,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所名稱,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,8,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學制班別(日間),學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,9,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,合作學校國家(地區)別,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,10,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,合作學校國家(地區)區域別,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,11,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數本國學生小計,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,12,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數本國學生男,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,13,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數本國學生女,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,14,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數外國學生小計,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,15,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數外國學生男,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,16,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,修讀雙聯學制學生人數外國學生女,學10.日間學制修讀雙聯學制學生數-以「系(所)」統計,,,,17,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
